Order_ID,Date,Customer_ID,Product_Category,Unnamed:_4,Product_Name,Quantity,Unit_Price_INR,Total_Sales_INR,Payment_Method,Delivery_Status,Review_Rating,Review_Text,State,Country
ORD100000,25-01-2025,CUST2796,Home & Kitchen,,Cookware Set,2,25574.41,51148.82,Credit Card,Returned,1,Waste of money,Sikkim,India
ORD100001,28-08-2025,CUST9669,Beauty,,Hair Dryer,1,19361.41,19361.41,Debit Card,Returned,5,Excellent product!,Telangana,India
ORD100002,27-02-2025,CUST5808,Electronics,,Tablet,3,38476.22,115428.66,Cash on Delivery,Delivered,3,Fair deal,Nagaland,India
ORD100003,24-02-2025,CUST5889,Electronics,,Headphones,5,38145.72,190728.6,Credit Card,Delivered,5,Highly recommend!,Assam,India
ORD100004,15-06-2025,CUST9005,Clothing,,Saree,5,45940.98,229704.9,UPI,Delivered,5,Highly recommend!,Odisha,India
ORD100005,10-02-2025,CUST2403,Home & Kitchen,,Cookware Set,1,12195.41,12195.41,Cash on Delivery,Delivered,5,Fantastic quality!,Maharashtra,India
ORD100006,16-05-2025,CUST9645,Clothing,,Jeans,4,47353.06,189412.24,Cash on Delivery,Delivered,2,Poor packaging,Arunachal Pradesh,India
ORD100007,13-08-2025,CUST9479,Clothing,,Sneakers,4,49758.44,199033.76,Cash on Delivery,Delivered,3,Okay product,Andhra Pradesh,India
ORD100008,28-04-2025,CUST4608,Clothing,,T-Shirt,3,1247.51,3742.53,UPI,Delivered,5,Excellent product!,Assam,India
ORD100009,21-09-2025,CUST4899,Clothing,,T-Shirt,1,43009.84,43009.84,Debit Card,Returned,1,Terrible experience,Gujarat,India
ORD100010,23-10-2025,CUST8744,Clothing,,Saree,2,36222.96,72445.92,Credit Card,Pending,5,Worth every rupee!,Haryana,India
ORD100011,05-08-2025,CUST7735,Clothing,,T-Shirt,1,33017.34,33017.34,Cash on Delivery,Returned,3,Average,Mizoram,India
ORD100012,08-05-2025,CUST4139,Electronics,,Smartphone,4,36465.04,145860.16,Credit Card,Returned,1,Terrible experience,Punjab,India
ORD100013,08-02-2025,CUST8260,Clothing,,Jacket,2,14071.55,28143.1,UPI,Delivered,2,Poor packaging,Andhra Pradesh,India
ORD100014,04-09-2025,CUST4502,Electronics,,Smartphone,2,8482.29,16964.58,Cash on Delivery,Delivered,4,Satisfied with the product,Nagaland,India
ORD100015,27-05-2025,CUST7930,Beauty,,Face Cream,4,13407.11,53628.44,Cash on Delivery,Delivered,4,Satisfied with the product,Gujarat,India
ORD100016,01-02-2025,CUST6138,Home & Kitchen,,Cookware Set,1,29043.18,29043.18,UPI,Delivered,5,Fantastic quality!,Tamil Nadu,India
ORD100017,11-02-2025,CUST4044,Beauty,,Hair Dryer,5,8040.15,40200.75,UPI,Returned,5,Excellent product!,Rajasthan,India
ORD100018,07-05-2025,CUST1651,Clothing,,Jacket,1,47091.49,47091.49,UPI,Pending,5,Fantastic quality!,Tamil Nadu,India
ORD100019,09-12-2025,CUST6147,Books,,Comics,3,46748.37,140245.11,Credit Card,Pending,2,Product not as expected,Nagaland,India
ORD100020,05-01-2025,CUST8508,Clothing,,Sneakers,4,15945.62,63782.48,UPI,Delivered,1,Never buying again,Maharashtra,India
ORD100021,05-02-2025,CUST5002,Clothing,,Saree,3,6796.34,20389.02,Debit Card,Pending,3,Okay product,Haryana,India
ORD100022,05-01-2025,CUST5905,Beauty,,Hair Dryer,3,30661.55,91984.65,UPI,Delivered,5,Highly recommend!,Manipur,India
ORD100023,06-11-2025,CUST4450,Electronics,,Smartphone,5,7941.31,39706.55,Debit Card,Delivered,3,Could be better,Odisha,India
ORD100024,17-02-2025,CUST7939,Books,,Children's Book,3,45285.76,135857.28,Debit Card,Delivered,1,Very bad product,Himachal Pradesh,India
ORD100025,10-10-2025,CUST8007,Home & Kitchen,,Cookware Set,3,8246.78,24740.34,UPI,Delivered,4,Good quality,Uttar Pradesh,India
ORD100026,10-10-2025,CUST3426,Clothing,,Saree,1,41762.83,41762.83,Cash on Delivery,Delivered,5,Excellent product!,West Bengal,India
ORD100027,16-12-2025,CUST5088,Home & Kitchen,,Vacuum Cleaner,1,44966.45,44966.45,UPI,Pending,2,Poor packaging,Andhra Pradesh,India
ORD100028,25-03-2025,CUST3900,Beauty,,Hair Dryer,2,46303.04,92606.08,Cash on Delivery,Delivered,2,Quality could improve,Tripura,India
ORD100029,15-07-2025,CUST1634,Home & Kitchen,,Air Fryer,2,13486.92,26973.84,Cash on Delivery,Delivered,1,Waste of money,Uttar Pradesh,India
ORD100030,25-04-2025,CUST1387,Beauty,,Lipstick,3,41062.71,123188.13,Credit Card,Pending,2,Disappointed,Goa,India
ORD100031,24-07-2025,CUST9785,Home & Kitchen,,Mixer Grinder,3,17687.08,53061.24,Debit Card,Delivered,5,Excellent product!,Tamil Nadu,India
ORD100032,20-01-2025,CUST2776,Home & Kitchen,,Cookware Set,5,48134.21,240671.05,Cash on Delivery,Pending,3,Could be better,Maharashtra,India
ORD100033,08-04-2025,CUST5173,Beauty,,Hair Dryer,5,5959.16,29795.8,UPI,Returned,5,Worth every rupee!,Karnataka,India
ORD100034,06-07-2025,CUST8066,Electronics,,Tablet,5,34405.49,172027.45,UPI,Returned,2,Disappointed,Himachal Pradesh,India
ORD100035,17-09-2025,CUST6067,Books,,Biography,1,36043.76,36043.76,Cash on Delivery,Pending,3,Fair deal,Chhattisgarh,India
ORD100036,13-12-2025,CUST3851,Home & Kitchen,,Water Purifier,2,9753.64,19507.28,Debit Card,Pending,4,Would buy again,Gujarat,India
ORD100037,07-11-2025,CUST6279,Electronics,,Headphones,3,10667.1,32001.3,Cash on Delivery,Pending,5,Worth every rupee!,Tripura,India
ORD100038,04-12-2025,CUST2389,Clothing,,Saree,4,39728.02,158912.08,Debit Card,Returned,2,Poor packaging,Karnataka,India
ORD100039,12-04-2025,CUST3414,Home & Kitchen,,Mixer Grinder,2,33705.22,67410.44,UPI,Delivered,2,Quality could improve,Bihar,India
ORD100040,10-04-2025,CUST7291,Beauty,,Hair Dryer,1,22879.73,22879.73,Cash on Delivery,Pending,5,Loved it!,Assam,India
ORD100041,01-04-2025,CUST9486,Clothing,,T-Shirt,1,38965.34,38965.34,Cash on Delivery,Delivered,2,Poor packaging,Madhya Pradesh,India
ORD100042,08-12-2025,CUST9702,Clothing,,T-Shirt,4,6840.29,27361.16,Debit Card,Pending,4,Would buy again,Bihar,India
ORD100043,01-09-2025,CUST8373,Books,,Children's Book,5,22406.5,112032.5,Debit Card,Delivered,2,Disappointed,Kerala,India
ORD100044,27-05-2025,CUST4841,Books,,Children's Book,2,13874.95,27749.9,Debit Card,Pending,1,Defective item,West Bengal,India
ORD100045,22-12-2025,CUST3503,Books,,Fiction Novel,2,7711.37,15422.74,Credit Card,Delivered,4,Pretty decent,Kerala,India
ORD100046,16-04-2025,CUST7883,Beauty,,Lipstick,5,23403.03,117015.15,Cash on Delivery,Returned,1,Very bad product,Punjab,India
ORD100047,02-06-2025,CUST7389,Books,,Children's Book,4,493.62,1974.48,Cash on Delivery,Returned,3,Not bad,Himachal Pradesh,India
ORD100048,06-09-2025,CUST1475,Books,,Science Textbook,4,11127.2,44508.8,Cash on Delivery,Pending,4,Pretty decent,Uttar Pradesh,India
ORD100049,14-01-2025,CUST7455,Clothing,,Jacket,2,49039.95,98079.9,UPI,Delivered,5,Worth every rupee!,Arunachal Pradesh,India
ORD100050,17-06-2025,CUST4467,Clothing,,Jacket,2,2704.17,5408.34,Cash on Delivery,Pending,4,Value for money,Telangana,India
ORD100051,29-08-2025,CUST1317,Beauty,,Lipstick,4,12763.12,51052.48,UPI,Pending,1,Waste of money,Manipur,India
ORD100052,11-01-2025,CUST3496,Electronics,,Smartphone,1,47490.66,47490.66,Credit Card,Delivered,2,Product not as expected,Nagaland,India
ORD100053,08-07-2025,CUST3749,Electronics,,Tablet,2,23358.69,46717.38,UPI,Delivered,3,Could be better,Bihar,India
ORD100054,13-12-2025,CUST7149,Electronics,,Tablet,1,46458.58,46458.58,Cash on Delivery,Returned,5,Loved it!,Madhya Pradesh,India
